"No.","Time","Source","Destination","Protocol","Length","Info"
"2672","12.536130","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2673","12.536130","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2674","12.536130","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2675","12.536130","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2676","12.539675","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2677","12.546998","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2678","12.547245","192.168.43.144","114.125.240.19","UDP","75","57846  >  443 Len=33"
"2679","12.547871","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2680","12.547871","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2681","12.547871","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2682","12.547871","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2683","12.547871","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2684","12.548504","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2685","12.548504","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2686","12.554156","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2687","12.557514","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2688","12.557717","192.168.43.144","114.125.240.19","UDP","75","57846  >  443 Len=33"
"2689","12.558171","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2690","12.558171","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2691","12.558171","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2692","12.558171","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2693","12.561063","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2694","12.561587","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2695","12.561587","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2696","12.561587","142.251.10.136","192.168.43.144","TCP","54","443  >  49475 [ACK] Seq=1 Ack=2 Win=1197 Len=0"
"2697","12.564556","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2698","12.565288","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2699","12.565288","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2700","12.565288","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2701","12.565288","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
